transaction_id,split
txn_09621,train
txn_07583,train
txn_04169,train
txn_06933,train
txn_07833,train
txn_07046,train
txn_02928,train
txn_09042,train
txn_00792,train
txn_09880,train
txn_00635,train
txn_05674,train
txn_00038,train
txn_09659,train
txn_00642,train
txn_05738,train
txn_05654,train
txn_08835,train
txn_05719,train
txn_06491,train
txn_05536,train
txn_09681,train
txn_02259,train
txn_00341,train
txn_06041,train
txn_07738,train
txn_04717,train
txn_06989,train
txn_05920,train
txn_03578,train
txn_04176,train
txn_09612,train
txn_02150,train
txn_07237,train
txn_04790,train
txn_04535,train
txn_02816,train
txn_03815,train
txn_00938,train
txn_07868,train
txn_02228,train
txn_04792,train
txn_07696,train
txn_00975,train
txn_02314,train
txn_00660,train
txn_05992,train
txn_02758,train
txn_00763,train
txn_07489,train
txn_01834,train
txn_06243,train
txn_02537,train
txn_03540,train
txn_01278,train
txn_00898,train
txn_04488,train
txn_02569,train
txn_09981,train
txn_02260,train
txn_08961,train
txn_07262,train
txn_04257,train
txn_09295,train
txn_05102,train
txn_06186,train
txn_08147,train
txn_06181,train
txn_06219,train
txn_03089,train
txn_03190,train
txn_05786,train
txn_04473,train
txn_08063,train
txn_09961,train
txn_03263,train
txn_06752,train
txn_07795,train
txn_05680,train
txn_04618,train
txn_04791,train
txn_05261,train
txn_09237,train
txn_03277,train
txn_05247,train
txn_00305,train
txn_09288,train
txn_04238,train
txn_03192,train
txn_09670,train
txn_04264,train
txn_03083,train
txn_00081,train
txn_02520,train
txn_07966,train
txn_06711,train
txn_09270,train
txn_08004,train
txn_03602,train
txn_05953,train
txn_01950,train
txn_05381,train
txn_09903,train
txn_06464,train
txn_07750,train
txn_05782,train
txn_09088,train
txn_06663,train
txn_04122,train
txn_04766,train
txn_05287,train
txn_09439,train
txn_00269,train
txn_00578,train
txn_03635,train
txn_07298,train
txn_02939,train
txn_03069,train
txn_07282,train
txn_07481,train
txn_09962,train
txn_08774,train
txn_04729,train
txn_06944,train
txn_01296,train
txn_05353,train
txn_05416,train
txn_07003,train
txn_06543,train
txn_04856,train
txn_08950,train
txn_08146,train
txn_06748,train
txn_09194,train
txn_02893,train
txn_05976,train
txn_04905,train
txn_03935,train
txn_05579,train
txn_03400,train
txn_03238,train
txn_04190,train
txn_02049,train
txn_07457,train
txn_06527,train
txn_03121,train
txn_06268,train
txn_02936,train
txn_08791,train
txn_06953,train
txn_05739,train
txn_02810,train
txn_08206,train
txn_04339,train
txn_04301,train
txn_09224,train
txn_06631,train
txn_08476,train
txn_07992,train
txn_07553,train
txn_09866,train
txn_00231,train
txn_00264,train
txn_07408,train
txn_07453,train
txn_01975,train
txn_01596,train
txn_01836,train
txn_01056,train
txn_08522,train
txn_00138,train
txn_06804,train
txn_00702,train
txn_02667,train
txn_04337,train
txn_09217,train
txn_04270,train
txn_04328,train
txn_08229,train
txn_00149,train
txn_03475,train
txn_08024,train
txn_01163,train
txn_07869,train
txn_06599,train
txn_03179,train
txn_07800,train
txn_03351,train
txn_05825,train
txn_07344,train
txn_07080,train
txn_08437,train
txn_04212,train
txn_06406,train
txn_08143,train
txn_02954,train
txn_01164,train
txn_06794,train
txn_02596,train
txn_07235,train
txn_02468,train
txn_08966,train
txn_00840,train
txn_01899,train
txn_07713,train
txn_00879,train
txn_05277,train
txn_01187,train
txn_03761,train
txn_04243,train
txn_00174,train
txn_08489,train
txn_05203,train
txn_08266,train
txn_01752,train
txn_05085,train
txn_06907,train
txn_05328,train
txn_09412,train
txn_07359,train
txn_07104,train
txn_02533,train
txn_09564,train
txn_00354,train
txn_01045,train
txn_01028,train
txn_00571,train
txn_02020,train
txn_01489,train
txn_07872,train
txn_03139,train
txn_05860,train
txn_07331,train
txn_09285,train
txn_05766,train
txn_01306,train
txn_00073,train
txn_09922,train
txn_04049,train
txn_06293,train
txn_08592,train
txn_01257,train
txn_05251,train
txn_06510,train
txn_08469,train
txn_01584,train
txn_02935,train
txn_00424,train
txn_01127,train
txn_02083,train
txn_00360,train
txn_03624,train
txn_07297,train
txn_05308,train
txn_00151,train
txn_07719,train
txn_06904,train
txn_01370,train
txn_06801,train
txn_04421,train
txn_00443,train
txn_09580,train
txn_00525,train
txn_07456,train
txn_04691,train
txn_04325,train
txn_07008,train
txn_07621,train
txn_08056,train
txn_02778,train
txn_03545,train
txn_01307,train
txn_02854,train
txn_09815,train
txn_00994,train
txn_03382,train
txn_02535,train
txn_07159,train
txn_05557,train
txn_08272,train
txn_09292,train
txn_06774,train
txn_07112,train
txn_01421,train
txn_07786,train
txn_08073,train
txn_01588,train
txn_09587,train
txn_00920,train
txn_00384,train
txn_09178,train
txn_00673,train
txn_09845,train
txn_03639,train
txn_04267,train
txn_01625,train
txn_05831,train
txn_09620,train
txn_09424,train
txn_07037,train
txn_03987,train
txn_09058,train
txn_00935,train
txn_00790,train
txn_07647,train
txn_01467,train
txn_02843,train
txn_08195,train
txn_05740,train
txn_00917,train
txn_07702,train
txn_01207,train
txn_03691,train
txn_05838,train
txn_05372,train
txn_04932,train
txn_06353,train
txn_03252,train
txn_05967,train
txn_05067,train
txn_05995,train
txn_08309,train
txn_00656,train
txn_01525,train
txn_04721,train
txn_02915,train
txn_08712,train
txn_04609,train
txn_05409,train
txn_04963,train
txn_08918,train
txn_02947,train
txn_05207,train
txn_01311,train
txn_09703,train
txn_03102,train
txn_01849,train
txn_04463,train
txn_06029,train
txn_04312,train
txn_02801,train
txn_02839,train
txn_01665,train
txn_06811,train
txn_00590,train
txn_03128,train
txn_08947,train
txn_08809,train
txn_09901,train
txn_09687,train
txn_02959,train
txn_08654,train
txn_00023,train
txn_06141,train
txn_04286,train
txn_09946,train
txn_03094,train
txn_03164,train
txn_00577,train
txn_07033,train
txn_06436,train
txn_08094,train
txn_00944,train
txn_00375,train
txn_07075,train
txn_08929,train
txn_06798,train
txn_02145,train
txn_03123,train
txn_04458,train
txn_07479,train
txn_03711,train
txn_04997,train
txn_04627,train
txn_06179,train
txn_08552,train
txn_03881,train
txn_07001,train
txn_05487,train
txn_03272,train
txn_00859,train
txn_08613,train
txn_05342,train
txn_05637,train
txn_06211,train
txn_02283,train
txn_05584,train
txn_08717,train
txn_08507,train
txn_02900,train
txn_06489,train
txn_06624,train
txn_07158,train
txn_03977,train
txn_00086,train
txn_09879,train
txn_06996,train
txn_00616,train
txn_03130,train
txn_02493,train
txn_02212,train
txn_09832,train
txn_06515,train
txn_06964,train
txn_07611,train
txn_05965,train
txn_05765,train
txn_03227,train
txn_03862,train
txn_08806,train
txn_00518,train
txn_08443,train
txn_08902,train
txn_06446,train
txn_08215,train
txn_09795,train
txn_08000,train
txn_06556,train
txn_05944,train
txn_07508,train
txn_06226,train
txn_01083,train
txn_01331,train
txn_09493,train
txn_07189,train
txn_04864,train
txn_04430,train
txn_07587,train
txn_06874,train
txn_07711,train
txn_03893,train
txn_07645,train
txn_05032,train
txn_02189,train
txn_02466,train
txn_02643,train
txn_05779,train
txn_02771,train
txn_07444,train
txn_05922,train
txn_05861,train
txn_02414,train
txn_09701,train
txn_08432,train
txn_08486,train
txn_06417,train
txn_08121,train
txn_07741,train
txn_06000,train
txn_07471,train
txn_01535,train
txn_01110,train
txn_08785,train
txn_06619,train
txn_04078,train
txn_08091,train
txn_03622,train
txn_03754,train
txn_03993,train
txn_04504,train
txn_04237,train
txn_06477,train
txn_03853,train
txn_02198,train
txn_09003,train
txn_02095,train
txn_06796,train
txn_07433,train
txn_03952,train
txn_05492,train
txn_01276,train
txn_03590,train
txn_06827,train
txn_02494,train
txn_09289,train
txn_06396,train
txn_04098,train
txn_07232,train
txn_03310,train
txn_07596,train
txn_03199,train
txn_08132,train
txn_08306,train
txn_05896,train
txn_05145,train
txn_06128,train
txn_00657,train
txn_02958,train
txn_00055,train
txn_01273,train
txn_07657,train
txn_05144,train
txn_09919,train
txn_01855,train
txn_06262,train
txn_06249,train
txn_02073,train
txn_08570,train
txn_00513,train
txn_08406,train
txn_04753,train
txn_05068,train
txn_00661,train
txn_02518,train
txn_05548,train
txn_05529,train
txn_02141,train
txn_04946,train
txn_09157,train
txn_01576,train
txn_06190,train
txn_09678,train
txn_07887,train
txn_06065,train
txn_04953,train
txn_07206,train
txn_07302,train
txn_04200,train
txn_08602,train
txn_04017,train
txn_03280,train
txn_08824,train
txn_05317,train
txn_08427,train
