customer_id,account_age_days,region
cus_00001,918,south
cus_00002,2068,north
cus_00003,39,east
cus_00004,2241,central
cus_00005,1363,central
cus_00006,363,north
cus_00007,765,south
cus_00008,1391,north
cus_00009,799,south
cus_00010,284,east
cus_00011,1669,south
cus_00012,1685,north
cus_00013,310,east
cus_00014,713,north
cus_00015,621,south
cus_00016,1653,north
cus_00017,1829,north
cus_00018,1821,east
cus_00019,2347,central
cus_00020,1925,west
cus_00021,811,north
cus_00022,282,north
cus_00023,1542,south
cus_00024,2291,west
cus_00025,2438,west
cus_00026,587,central
cus_00027,602,south
cus_00028,107,north
cus_00029,366,north
cus_00030,1393,north
cus_00031,1373,north
cus_00032,936,central
cus_00033,785,south
cus_00034,2077,central
cus_00035,1158,east
cus_00036,2023,east
cus_00037,2408,east
cus_00038,803,central
cus_00039,518,north
cus_00040,2382,north
cus_00041,1592,east
cus_00042,737,south
cus_00043,1560,east
cus_00044,1294,west
cus_00045,2265,east
cus_00046,651,south
cus_00047,2478,south
cus_00048,2341,west
cus_00049,464,south
cus_00050,424,east
cus_00051,1339,east
cus_00052,126,west
cus_00053,757,west
cus_00054,1096,east
cus_00055,2423,south
cus_00056,2481,south
cus_00057,391,east
cus_00058,2230,south
cus_00059,240,west
cus_00060,1875,south
cus_00061,2116,west
cus_00062,2228,west
cus_00063,570,central
cus_00064,2235,north
cus_00065,303,west
cus_00066,1304,north
cus_00067,1181,south
cus_00068,800,north
cus_00069,69,north
cus_00070,1933,north
cus_00071,848,north
cus_00072,1659,central
cus_00073,1034,north
cus_00074,943,south
cus_00075,2217,west
cus_00076,249,central
cus_00077,1845,central
cus_00078,1870,north
cus_00079,959,central
cus_00080,667,west
cus_00081,28,north
cus_00082,2342,east
cus_00083,2370,central
cus_00084,613,south
cus_00085,94,north
cus_00086,320,central
cus_00087,183,central
cus_00088,2080,central
cus_00089,2231,central
cus_00090,395,central
cus_00091,1870,east
cus_00092,460,north
cus_00093,927,west
cus_00094,1504,south
cus_00095,1804,east
cus_00096,2188,west
cus_00097,126,central
cus_00098,503,south
cus_00099,712,south
cus_00100,786,west
cus_00101,2495,north
cus_00102,1946,east
cus_00103,811,west
cus_00104,2429,east
cus_00105,1255,south
cus_00106,1259,central
cus_00107,1092,south
cus_00108,372,west
cus_00109,2336,east
cus_00110,49,north
cus_00111,448,east
cus_00112,585,north
cus_00113,709,central
cus_00114,342,west
cus_00115,59,south
cus_00116,1698,east
cus_00117,2423,west
cus_00118,317,south
cus_00119,751,south
cus_00120,1273,east
cus_00121,2319,south
cus_00122,1740,west
cus_00123,1918,north
cus_00124,1459,central
cus_00125,1051,south
cus_00126,511,east
cus_00127,2162,north
cus_00128,2013,south
cus_00129,77,west
cus_00130,1792,south
cus_00131,224,north
cus_00132,1851,east
cus_00133,2067,north
cus_00134,340,south
cus_00135,1093,east
cus_00136,322,east
cus_00137,1424,west
cus_00138,2319,west
cus_00139,215,central
cus_00140,1002,north
cus_00141,2433,south
cus_00142,762,north
cus_00143,343,north
cus_00144,1229,south
cus_00145,1278,east
cus_00146,1662,central
cus_00147,794,west
cus_00148,2389,west
cus_00149,1309,west
cus_00150,726,north
cus_00151,2401,central
cus_00152,2313,central
cus_00153,1255,north
cus_00154,76,east
cus_00155,1498,central
cus_00156,1394,east
cus_00157,383,central
cus_00158,1590,central
cus_00159,2104,east
cus_00160,278,north
cus_00161,1812,south
cus_00162,363,south
cus_00163,1875,east
cus_00164,1056,east
cus_00165,31,east
cus_00166,2416,north
cus_00167,427,south
cus_00168,1496,west
cus_00169,465,north
cus_00170,2333,south
cus_00171,1849,central
cus_00172,2013,north
cus_00173,1088,east
cus_00174,1176,south
cus_00175,1591,north
cus_00176,1965,east
cus_00177,2119,east
cus_00178,59,north
cus_00179,1663,north
cus_00180,286,north
cus_00181,730,west
cus_00182,2076,central
cus_00183,637,north
cus_00184,1995,south
cus_00185,1165,south
cus_00186,593,south
cus_00187,845,south
cus_00188,1333,north
cus_00189,1916,east
cus_00190,1520,south
cus_00191,2334,south
cus_00192,2171,south
cus_00193,1887,central
cus_00194,1513,west
cus_00195,735,east
cus_00196,1040,south
cus_00197,310,central
cus_00198,944,central
cus_00199,2317,north
cus_00200,1073,central
cus_00201,297,west
cus_00202,1635,north
cus_00203,2407,west
cus_00204,2170,north
cus_00205,696,north
cus_00206,1142,north
cus_00207,1334,east
cus_00208,630,west
cus_00209,682,east
cus_00210,603,north
cus_00211,2486,north
cus_00212,1868,central
cus_00213,2104,central
cus_00214,2044,west
cus_00215,2398,north
cus_00216,276,central
cus_00217,2205,west
cus_00218,180,east
cus_00219,1196,north
cus_00220,1492,central
cus_00221,904,east
cus_00222,378,north
cus_00223,492,south
cus_00224,2064,east
cus_00225,807,north
cus_00226,786,south
cus_00227,2309,east
cus_00228,372,central
cus_00229,2289,north
cus_00230,2303,east
cus_00231,1502,central
cus_00232,426,central
cus_00233,402,central
cus_00234,722,north
cus_00235,1449,central
cus_00236,396,central
cus_00237,1147,south
cus_00238,301,east
cus_00239,1357,east
cus_00240,67,east
cus_00241,1776,south
cus_00242,152,central
cus_00243,499,central
cus_00244,448,south
cus_00245,2080,central
cus_00246,147,south
cus_00247,1081,west
cus_00248,1483,east
cus_00249,1297,east
cus_00250,1706,north
cus_00251,2010,west
cus_00252,993,south
cus_00253,2073,south
cus_00254,805,north
cus_00255,2461,central
cus_00256,1268,north
cus_00257,1843,west
cus_00258,2189,central
cus_00259,1984,north
cus_00260,2130,east
cus_00261,1348,east
cus_00262,123,south
cus_00263,1240,west
cus_00264,466,east
cus_00265,2224,east
cus_00266,603,east
cus_00267,581,central
cus_00268,634,west
cus_00269,1611,south
cus_00270,1434,central
cus_00271,2372,central
cus_00272,1049,central
cus_00273,716,west
cus_00274,137,south
cus_00275,32,west
cus_00276,943,south
cus_00277,2315,south
cus_00278,1316,east
cus_00279,2235,central
cus_00280,267,east
cus_00281,246,south
cus_00282,2086,east
cus_00283,280,south
cus_00284,144,west
cus_00285,1019,south
cus_00286,2313,east
cus_00287,1728,south
cus_00288,261,south
cus_00289,2095,central
cus_00290,2111,south
cus_00291,2004,north
cus_00292,2258,south
cus_00293,611,east
cus_00294,2449,north
cus_00295,811,south
cus_00296,2008,north
cus_00297,1454,east
cus_00298,1952,west
cus_00299,1575,central
cus_00300,1611,south
cus_00301,1546,central
cus_00302,1950,south
cus_00303,1851,west
cus_00304,349,east
cus_00305,2067,west
cus_00306,1347,west
cus_00307,817,east
cus_00308,1292,south
cus_00309,2417,east
cus_00310,2146,central
cus_00311,2086,central
cus_00312,1165,central
cus_00313,1963,north
cus_00314,971,east
cus_00315,1720,north
cus_00316,1604,west
cus_00317,635,central
cus_00318,677,north
cus_00319,166,west
cus_00320,362,central
cus_00321,1092,central
cus_00322,1202,south
cus_00323,425,north
cus_00324,1050,central
cus_00325,1516,central
cus_00326,592,east
cus_00327,855,central
cus_00328,928,north
