device_id,device_type,first_seen_day
dev_00001,ios,6
dev_00002,android,99
dev_00003,web,17
dev_00004,web,42
dev_00005,ios,23
dev_00006,web,81
dev_00007,android,39
dev_00008,android,74
dev_00009,android,6
dev_00010,android,45
dev_00011,ios,91
dev_00012,android,92
dev_00013,android,20
dev_00014,ios,39
dev_00015,web,40
dev_00016,android,56
dev_00017,web,53
dev_00018,ios,10
dev_00019,android,76
dev_00020,ios,22
dev_00021,android,31
dev_00022,android,84
dev_00023,ios,68
dev_00024,android,39
dev_00025,android,91
dev_00026,ios,39
dev_00027,android,56
dev_00028,web,24
dev_00029,android,18
dev_00030,tablet,49
dev_00031,web,56
dev_00032,tablet,80
dev_00033,web,39
dev_00034,android,89
dev_00035,ios,60
dev_00036,android,7
dev_00037,web,73
dev_00038,ios,57
dev_00039,android,38
dev_00040,tablet,46
dev_00041,android,30
dev_00042,ios,61
dev_00043,ios,56
dev_00044,android,44
dev_00045,ios,28
dev_00046,web,39
dev_00047,android,49
dev_00048,ios,47
dev_00049,android,30
dev_00050,ios,58
dev_00051,android,22
dev_00052,tablet,50
dev_00053,web,12
dev_00054,android,47
dev_00055,android,78
dev_00056,ios,81
dev_00057,ios,69
dev_00058,ios,74
dev_00059,android,6
dev_00060,android,34
dev_00061,tablet,65
dev_00062,ios,80
dev_00063,web,58
dev_00064,ios,85
dev_00065,tablet,27
dev_00066,android,15
dev_00067,android,8
dev_00068,tablet,58
dev_00069,tablet,66
dev_00070,android,28
dev_00071,android,78
dev_00072,ios,73
dev_00073,android,36
dev_00074,android,23
dev_00075,web,74
dev_00076,android,67
dev_00077,ios,17
dev_00078,android,25
dev_00079,android,48
dev_00080,ios,51
dev_00081,android,16
dev_00082,ios,94
dev_00083,android,38
dev_00084,tablet,38
dev_00085,web,6
dev_00086,web,87
dev_00087,android,23
dev_00088,android,98
dev_00089,android,49
dev_00090,ios,87
dev_00091,android,17
dev_00092,android,16
dev_00093,android,80
dev_00094,android,81
dev_00095,android,54
dev_00096,android,3
dev_00097,android,94
dev_00098,ios,39
dev_00099,android,93
dev_00100,android,87
dev_00101,ios,85
dev_00102,web,68
dev_00103,android,67
dev_00104,ios,53
dev_00105,tablet,2
dev_00106,ios,38
dev_00107,web,73
dev_00108,web,81
dev_00109,android,55
dev_00110,ios,70
dev_00111,ios,2
dev_00112,tablet,46
dev_00113,ios,50
dev_00114,android,89
dev_00115,ios,31
dev_00116,android,22
dev_00117,web,35
dev_00118,ios,17
dev_00119,ios,55
dev_00120,web,64
dev_00121,ios,80
dev_00122,ios,97
dev_00123,web,7
dev_00124,web,24
dev_00125,web,30
dev_00126,android,24
dev_00127,ios,82
dev_00128,android,13
dev_00129,web,2
dev_00130,ios,86
dev_00131,ios,96
dev_00132,android,22
dev_00133,android,33
dev_00134,ios,50
dev_00135,android,52
dev_00136,android,99
dev_00137,web,40
dev_00138,web,1
dev_00139,android,42
dev_00140,android,55
dev_00141,tablet,51
dev_00142,ios,51
dev_00143,ios,92
dev_00144,android,80
dev_00145,android,25
dev_00146,android,35
dev_00147,ios,66
dev_00148,android,41
dev_00149,android,42
dev_00150,ios,16
dev_00151,tablet,25
dev_00152,web,74
dev_00153,ios,84
dev_00154,ios,78
dev_00155,ios,30
dev_00156,android,13
dev_00157,ios,15
dev_00158,ios,39
dev_00159,ios,51
dev_00160,web,89
dev_00161,tablet,89
dev_00162,android,0
dev_00163,android,70
dev_00164,android,29
dev_00165,android,19
dev_00166,android,55
dev_00167,android,3
dev_00168,web,33
dev_00169,ios,55
dev_00170,web,27
dev_00171,android,59
dev_00172,android,46
dev_00173,android,79
dev_00174,android,18
dev_00175,android,5
dev_00176,tablet,52
dev_00177,android,25
dev_00178,android,70
dev_00179,ios,9
dev_00180,ios,57
dev_00181,ios,98
dev_00182,android,9
dev_00183,web,30
dev_00184,android,84
dev_00185,ios,53
