instrument_id,instrument_type
ins_00001,card_token
ins_00002,wallet_token
ins_00003,card_token
ins_00004,wallet_token
ins_00005,card_token
ins_00006,bank_token
ins_00007,wallet_token
ins_00008,card_token
ins_00009,wallet_token
ins_00010,card_token
ins_00011,bank_token
ins_00012,card_token
ins_00013,card_token
ins_00014,bank_token
ins_00015,card_token
ins_00016,card_token
ins_00017,card_token
ins_00018,wallet_token
ins_00019,card_token
ins_00020,bank_token
ins_00021,wallet_token
ins_00022,card_token
ins_00023,card_token
ins_00024,bank_token
ins_00025,card_token
ins_00026,bank_token
ins_00027,bank_token
ins_00028,bank_token
ins_00029,card_token
ins_00030,bank_token
ins_00031,bank_token
ins_00032,card_token
ins_00033,card_token
ins_00034,wallet_token
ins_00035,bank_token
ins_00036,card_token
ins_00037,card_token
ins_00038,card_token
ins_00039,card_token
ins_00040,card_token
ins_00041,wallet_token
ins_00042,card_token
ins_00043,bank_token
ins_00044,card_token
ins_00045,card_token
ins_00046,card_token
ins_00047,card_token
ins_00048,bank_token
ins_00049,wallet_token
ins_00050,wallet_token
ins_00051,card_token
ins_00052,bank_token
ins_00053,card_token
ins_00054,wallet_token
ins_00055,card_token
ins_00056,card_token
ins_00057,card_token
ins_00058,card_token
ins_00059,card_token
ins_00060,wallet_token
ins_00061,bank_token
ins_00062,wallet_token
ins_00063,card_token
ins_00064,bank_token
ins_00065,card_token
ins_00066,card_token
ins_00067,card_token
ins_00068,card_token
ins_00069,card_token
ins_00070,card_token
ins_00071,card_token
ins_00072,bank_token
ins_00073,card_token
ins_00074,wallet_token
ins_00075,card_token
ins_00076,bank_token
ins_00077,bank_token
ins_00078,bank_token
ins_00079,bank_token
ins_00080,wallet_token
ins_00081,bank_token
ins_00082,card_token
ins_00083,card_token
ins_00084,bank_token
ins_00085,card_token
ins_00086,card_token
ins_00087,card_token
ins_00088,card_token
ins_00089,card_token
ins_00090,bank_token
ins_00091,bank_token
ins_00092,bank_token
ins_00093,card_token
ins_00094,card_token
ins_00095,card_token
ins_00096,card_token
ins_00097,bank_token
ins_00098,card_token
ins_00099,wallet_token
ins_00100,card_token
ins_00101,bank_token
ins_00102,bank_token
ins_00103,card_token
ins_00104,bank_token
ins_00105,card_token
ins_00106,bank_token
ins_00107,bank_token
ins_00108,card_token
ins_00109,card_token
ins_00110,bank_token
ins_00111,card_token
ins_00112,wallet_token
ins_00113,bank_token
ins_00114,bank_token
ins_00115,card_token
ins_00116,bank_token
ins_00117,wallet_token
ins_00118,card_token
ins_00119,card_token
ins_00120,card_token
ins_00121,card_token
ins_00122,bank_token
ins_00123,card_token
ins_00124,card_token
ins_00125,card_token
ins_00126,card_token
ins_00127,card_token
ins_00128,wallet_token
ins_00129,bank_token
ins_00130,card_token
ins_00131,bank_token
ins_00132,card_token
ins_00133,card_token
ins_00134,card_token
ins_00135,wallet_token
ins_00136,bank_token
ins_00137,bank_token
ins_00138,card_token
ins_00139,card_token
ins_00140,bank_token
ins_00141,card_token
ins_00142,wallet_token
ins_00143,bank_token
ins_00144,card_token
ins_00145,bank_token
ins_00146,wallet_token
ins_00147,card_token
ins_00148,bank_token
ins_00149,wallet_token
ins_00150,card_token
ins_00151,wallet_token
ins_00152,card_token
ins_00153,bank_token
ins_00154,bank_token
ins_00155,bank_token
ins_00156,card_token
ins_00157,bank_token
ins_00158,card_token
ins_00159,card_token
ins_00160,card_token
ins_00161,bank_token
ins_00162,card_token
ins_00163,card_token
ins_00164,wallet_token
ins_00165,card_token
ins_00166,card_token
ins_00167,card_token
ins_00168,card_token
ins_00169,bank_token
ins_00170,card_token
ins_00171,card_token
ins_00172,wallet_token
ins_00173,bank_token
ins_00174,bank_token
ins_00175,wallet_token
ins_00176,wallet_token
ins_00177,card_token
ins_00178,bank_token
ins_00179,bank_token
ins_00180,card_token
ins_00181,card_token
ins_00182,card_token
ins_00183,bank_token
ins_00184,bank_token
ins_00185,bank_token
ins_00186,card_token
ins_00187,card_token
ins_00188,card_token
ins_00189,card_token
ins_00190,wallet_token
ins_00191,wallet_token
ins_00192,wallet_token
ins_00193,wallet_token
ins_00194,wallet_token
ins_00195,card_token
ins_00196,card_token
ins_00197,card_token
ins_00198,card_token
ins_00199,card_token
ins_00200,card_token
ins_00201,wallet_token
ins_00202,card_token
ins_00203,wallet_token
