merchant_id,merchant_category,region,merchant_age_days
mrc_00001,grocery,central,1117
mrc_00002,food,north,2728
mrc_00003,travel,central,1500
mrc_00004,electronics,north,2108
mrc_00005,electronics,west,1388
mrc_00006,services,west,819
mrc_00007,grocery,west,2299
mrc_00008,food,west,2908
mrc_00009,fashion,east,812
mrc_00010,grocery,west,2342
mrc_00011,travel,south,805
mrc_00012,services,west,2159
mrc_00013,food,east,2373
mrc_00014,food,east,1364
mrc_00015,food,east,2218
mrc_00016,food,east,838
mrc_00017,travel,north,265
mrc_00018,grocery,north,316
mrc_00019,services,south,1357
mrc_00020,electronics,north,2710
mrc_00021,travel,east,408
mrc_00022,electronics,west,1383
mrc_00023,fashion,west,2120
mrc_00024,services,east,631
mrc_00025,food,central,2173
mrc_00026,travel,east,938
mrc_00027,electronics,north,2431
mrc_00028,food,west,1750
mrc_00029,travel,east,1654
mrc_00030,electronics,west,555
mrc_00031,electronics,east,1405
mrc_00032,fashion,east,2574
mrc_00033,grocery,north,87
mrc_00034,travel,east,2282
mrc_00035,services,west,1493
mrc_00036,grocery,south,2166
mrc_00037,services,west,1999
mrc_00038,food,north,1313
mrc_00039,fashion,south,946
mrc_00040,travel,east,1893
mrc_00041,grocery,central,446
mrc_00042,food,south,1764
mrc_00043,food,south,311
mrc_00044,electronics,east,1960
mrc_00045,grocery,central,1897
mrc_00046,services,central,280
mrc_00047,electronics,north,2279
mrc_00048,services,south,1264
mrc_00049,food,central,2367
mrc_00050,food,north,153
mrc_00051,food,central,562
mrc_00052,fashion,south,1497
mrc_00053,electronics,central,589
mrc_00054,electronics,south,1009
mrc_00055,electronics,east,1991
mrc_00056,grocery,west,459
mrc_00057,travel,north,2042
mrc_00058,grocery,east,337
mrc_00059,food,east,550
mrc_00060,food,west,1775
mrc_00061,services,central,2386
mrc_00062,food,west,536
mrc_00063,electronics,east,920
mrc_00064,services,east,2777
mrc_00065,electronics,east,2969
mrc_00066,fashion,central,1755
mrc_00067,services,south,1357
mrc_00068,electronics,north,1060
mrc_00069,grocery,south,1848
mrc_00070,electronics,north,1785
mrc_00071,food,north,905
mrc_00072,fashion,north,97
mrc_00073,electronics,west,479
mrc_00074,grocery,west,2876
mrc_00075,food,west,1271
mrc_00076,electronics,east,1462
mrc_00077,fashion,west,1417
mrc_00078,fashion,north,2354
mrc_00079,travel,central,222
mrc_00080,food,east,275
mrc_00081,services,central,849
mrc_00082,electronics,north,1475
mrc_00083,grocery,east,2023
mrc_00084,food,west,1487
mrc_00085,travel,east,1340
mrc_00086,food,east,2815
mrc_00087,grocery,north,508
mrc_00088,fashion,south,1728
mrc_00089,food,south,1640
mrc_00090,food,south,1436
mrc_00091,electronics,west,2428
mrc_00092,food,west,822
mrc_00093,services,west,2862
mrc_00094,electronics,south,1014
mrc_00095,services,central,1648
mrc_00096,fashion,north,1576
mrc_00097,fashion,south,2553
mrc_00098,food,north,1333
mrc_00099,travel,south,875
mrc_00100,grocery,central,94
