transaction_id,timestamp,merchant_id,customer_id,device_id,payment_instrument_id,ip_hash,amount,currency,status
txn_00001,2025-04-13 06:41:00+00:00,mrc_00082,cus_01180,dev_00499,ins_00746,ip_19dd7129,25136.39,USD,succeeded
txn_00002,2025-01-21 20:50:41+00:00,mrc_00040,cus_01831,dev_00050,ins_00992,ip_c857e6fd,7125.48,INR,succeeded
txn_00003,2025-04-14 08:52:36+00:00,mrc_00099,cus_00979,dev_00362,ins_00860,ip_c256ef48,13268.74,INR,succeeded
txn_00004,2025-01-19 17:07:24+00:00,mrc_00038,cus_01038,dev_00115,ins_00866,ip_f96861e4,479.33,INR,failed
txn_00005,2025-03-28 23:06:33+00:00,mrc_00049,cus_00630,dev_00483,ins_00160,ip_c0f75d44,522.49,INR,succeeded
txn_00006,2025-02-24 05:29:12+00:00,mrc_00049,cus_00644,dev_00487,ins_00895,ip_2add990d,463.61,INR,succeeded
txn_00007,2025-03-01 10:07:59+00:00,mrc_00046,cus_01236,dev_00173,ins_00790,ip_55cabac7,2291.43,INR,succeeded
txn_00008,2025-04-17 07:55:58+00:00,mrc_00086,cus_01656,dev_00409,ins_00680,ip_aef9bfac,198.31,INR,succeeded
txn_00009,2025-04-09 17:02:51+00:00,mrc_00013,cus_01782,dev_00436,ins_00858,ip_528ffab1,2237.64,INR,succeeded
txn_00010,2025-01-21 13:28:15+00:00,mrc_00059,cus_01542,dev_00106,ins_00108,ip_85a3dfc6,673.94,GBP,succeeded
txn_00011,2025-04-14 12:09:12+00:00,mrc_00062,cus_01220,dev_00410,ins_00428,ip_9a4d9cd3,464.71,USD,succeeded
txn_00012,2025-02-08 12:52:56+00:00,mrc_00088,cus_01001,dev_00376,ins_00787,ip_deb7fa35,5639.21,INR,succeeded
txn_00013,2025-02-15 03:42:00+00:00,mrc_00061,cus_00680,dev_00218,ins_00951,ip_2427b516,1131.86,USD,succeeded
txn_00014,2025-04-10 14:04:19+00:00,mrc_00096,cus_01536,dev_00088,ins_00325,ip_be323be8,3083.88,INR,succeeded
