threshold,precision,recall,f1,confusion_matrix,false_positive_rate,false_negative_rate,false_positives,false_negatives,total_cost,model
0.1,0.2242152466367713,1.0,0.3663003663003663,"[[1277, 173], [0, 50]]",0.1193103448275862,0.0,173,0,865.0,behavioral_baseline
0.2,0.3597122302158273,1.0,0.5291005291005291,"[[1361, 89], [0, 50]]",0.06137931034482759,0.0,89,0,445.0,behavioral_baseline
0.3,0.42016806722689076,1.0,0.591715976331361,"[[1381, 69], [0, 50]]",0.04758620689655172,0.0,69,0,345.0,behavioral_baseline
0.4,0.49019607843137253,1.0,0.6578947368421053,"[[1398, 52], [0, 50]]",0.03586206896551724,0.0,52,0,260.0,behavioral_baseline
0.5,0.5681818181818182,1.0,0.7246376811594203,"[[1412, 38], [0, 50]]",0.02620689655172414,0.0,38,0,190.0,behavioral_baseline
0.6,0.6049382716049383,0.98,0.7480916030534351,"[[1418, 32], [1, 49]]",0.022068965517241378,0.02,32,1,260.0,behavioral_baseline
0.7,0.6363636363636364,0.98,0.7716535433070866,"[[1422, 28], [1, 49]]",0.019310344827586208,0.02,28,1,240.0,behavioral_baseline
0.8,0.6811594202898551,0.94,0.7899159663865546,"[[1428, 22], [3, 47]]",0.015172413793103448,0.06,22,3,410.0,behavioral_baseline
0.9,0.7894736842105263,0.9,0.8411214953271028,"[[1438, 12], [5, 45]]",0.008275862068965517,0.1,12,5,560.0,behavioral_baseline
0.1,0.41739130434782606,0.96,0.5818181818181818,"[[1383, 67], [2, 48]]",0.046206896551724136,0.04,67,2,535.0,graph_only
0.2,0.5274725274725275,0.96,0.6808510638297872,"[[1407, 43], [2, 48]]",0.029655172413793104,0.04,43,2,415.0,graph_only
0.3,0.5925925925925926,0.96,0.732824427480916,"[[1417, 33], [2, 48]]",0.022758620689655173,0.04,33,2,365.0,graph_only
0.4,0.6666666666666666,0.96,0.7868852459016393,"[[1426, 24], [2, 48]]",0.016551724137931035,0.04,24,2,320.0,graph_only
0.5,0.75,0.96,0.8421052631578947,"[[1434, 16], [2, 48]]",0.011034482758620689,0.04,16,2,280.0,graph_only
0.6,0.7741935483870968,0.96,0.8571428571428571,"[[1436, 14], [2, 48]]",0.009655172413793104,0.04,14,2,270.0,graph_only
0.7,0.8070175438596491,0.92,0.8598130841121495,"[[1439, 11], [4, 46]]",0.007586206896551724,0.08,11,4,455.0,graph_only
0.8,0.8333333333333334,0.9,0.8653846153846154,"[[1441, 9], [5, 45]]",0.006206896551724138,0.1,9,5,545.0,graph_only
0.9,0.8490566037735849,0.9,0.8737864077669902,"[[1442, 8], [5, 45]]",0.005517241379310344,0.1,8,5,540.0,graph_only
0.1,0.5,0.96,0.6575342465753424,"[[1402, 48], [2, 48]]",0.03310344827586207,0.04,48,2,440.0,behavioral_graph
0.2,0.6714285714285714,0.94,0.7833333333333333,"[[1427, 23], [3, 47]]",0.015862068965517243,0.06,23,3,415.0,behavioral_graph
0.3,0.734375,0.94,0.8245614035087719,"[[1433, 17], [3, 47]]",0.011724137931034483,0.06,17,3,385.0,behavioral_graph
0.4,0.7833333333333333,0.94,0.8545454545454545,"[[1437, 13], [3, 47]]",0.00896551724137931,0.06,13,3,365.0,behavioral_graph
0.5,0.8070175438596491,0.92,0.8598130841121495,"[[1439, 11], [4, 46]]",0.007586206896551724,0.08,11,4,455.0,behavioral_graph
0.6,0.8518518518518519,0.92,0.8846153846153846,"[[1442, 8], [4, 46]]",0.005517241379310344,0.08,8,4,440.0,behavioral_graph
0.7,0.8679245283018868,0.92,0.8932038834951457,"[[1443, 7], [4, 46]]",0.004827586206896552,0.08,7,4,435.0,behavioral_graph
0.8,0.9019607843137255,0.92,0.9108910891089109,"[[1445, 5], [4, 46]]",0.0034482758620689655,0.08,5,4,425.0,behavioral_graph
0.9,0.9019607843137255,0.92,0.9108910891089109,"[[1445, 5], [4, 46]]",0.0034482758620689655,0.08,5,4,425.0,behavioral_graph
