feature,coefficient,absolute_coefficient,direction
other_customer_device_count_before,9.122647787825441,9.122647787825441,positive
other_customer_instrument_count_before,8.616386503586964,8.616386503586964,positive
device_account_count_before,-8.390192149484609,8.390192149484609,negative
instrument_account_count_before,-7.582297028155162,7.582297028155162,negative
instrument_txn_count_1h,1.5125002401589471,1.5125002401589471,positive
customer_transaction_count_before,-1.4662484265753304,1.4662484265753304,negative
customer_merchant_count_before,1.263226660289413,1.263226660289413,positive
customer_device_count_before,1.001921784564974,1.001921784564974,positive
customer_instrument_count_before,0.8370717883417282,0.8370717883417282,positive
instrument_merchant_count_before,-0.8240637183369647,0.8240637183369647,negative
device_merchant_count_before,-0.6997033864279456,0.6997033864279456,negative
customer_median_amount_before,0.5951198787046815,0.5951198787046815,positive
day_of_week,0.5783506434103882,0.5783506434103882,positive
customer_avg_amount_before,-0.5349714618249692,0.5349714618249692,negative
seconds_since_instrument_last_transaction,-0.49409195134434497,0.49409195134434497,negative
customer_txn_count_1h,0.4886286056023239,0.4886286056023239,positive
amount_vs_customer_median,-0.3859391379287648,0.3859391379287648,negative
is_weekend,-0.37929589062256747,0.37929589062256747,negative
amount_vs_customer_mean,0.36840975059990083,0.36840975059990083,positive
customer_amount_std_before,-0.3177670133067899,0.3177670133067899,negative
customer_amount_zscore,-0.30480577527955277,0.30480577527955277,negative
seconds_since_customer_last_transaction,-0.20662140209420943,0.20662140209420943,negative
log_amount,-0.20412456461101086,0.20412456461101086,negative
device_txn_count_1h,-0.1532489029631371,0.1532489029631371,negative
instrument_txn_count_5m,0.15168801223441603,0.15168801223441603,positive
amount,0.09926951767198793,0.09926951767198793,positive
hour,0.05513327406624988,0.05513327406624988,positive
seconds_since_device_last_transaction,0.038844088855778516,0.038844088855778516,positive
customer_txn_count_24h,-0.021567336284102706,0.021567336284102706,negative
customer_txn_count_5m,-0.020396949969861224,0.020396949969861224,negative
customer_txn_count_30m,0.017965635424401893,0.017965635424401893,positive
device_txn_count_5m,-0.004240007298106912,0.004240007298106912,negative
