feature,importance,feature_family
other_customer_instrument_count_before,0.14546260285384344,entity_reuse
other_customer_device_count_before,0.02207056171954358,entity_reuse
instrument_txn_count_1h,0.011565519908018351,velocity
graph__customers_connected_via_device,0.010370978946386434,graph
graph__unique_customer_neighbors,0.009080744590953604,graph
graph__shared_device_count_for_customer,0.007819445211706366,graph
instrument_account_count_before,0.007303902305890153,behavioral
customer_instrument_count_before,0.006089107197084109,entity_reuse
day_of_week,0.0054235535313616355,behavioral
graph__customers_connected_via_instrument,0.004357482937804779,graph
graph__other_merchants_on_instrument,0.003912022437165064,graph
instrument_merchant_count_before,0.003223155658818211,entity_reuse
customer_device_count_before,0.0030082693571438003,entity_reuse
seconds_since_customer_last_transaction,0.0029011228336033312,recency
graph__local_degree,0.0018449810827619651,graph
customer_txn_count_1h,0.0017875766657361237,velocity
device_merchant_count_before,0.0014807920436419764,entity_reuse
seconds_since_instrument_last_transaction,0.0013205967395207407,recency
customer_avg_amount_before,0.0007389771314862293,behavioral
amount,0.0005140348536289974,behavioral
graph__connected_entity_count,0.00043634761601289983,graph
graph__merchant_degree_before,0.0004060194280102847,graph
customer_merchant_count_before,0.00039984867670792565,entity_reuse
graph__unique_merchant_neighbors,0.0003347941824571432,graph
device_txn_count_1h,0.00026685422031205166,velocity
customer_txn_count_24h,0.0002386648702906724,velocity
customer_transaction_count_before,0.00022605962767763277,behavioral
graph__shared_instrument_count_for_customer,0.0002012272405820026,graph
seconds_since_device_last_transaction,3.7766162477459456e-05,recency
graph__instrument_degree_before,3.6503346214655787e-05,graph
customer_txn_count_30m,0.0,velocity
log_amount,0.0,behavioral
graph__neighbor_count,0.0,graph
graph__merchants_connected_via_instrument,0.0,graph
graph__other_customers_same_device_5m,0.0,coordination
graph__other_customers_on_instrument,0.0,graph
graph__instrument_customer_count_before,0.0,graph
graph__device_merchant_count_before,0.0,graph
graph__instrument_merchant_count_before,0.0,graph
is_weekend,0.0,behavioral
instrument_txn_count_5m,0.0,velocity
device_txn_count_5m,0.0,velocity
customer_txn_count_5m,0.0,velocity
graph__other_customers_on_device,0.0,graph
graph__customer_merchant_count_before,0.0,graph
graph__device_customer_count_before,0.0,graph
graph__customer_instrument_count_before,0.0,graph
graph__customer_device_count_before,0.0,graph
graph__other_customers_same_device_1h,0.0,coordination
graph__other_customers_same_instrument_5m,0.0,coordination
graph__other_customers_same_instrument_30m,0.0,coordination
graph__other_customers_same_device_30m,0.0,coordination
graph__other_customers_same_instrument_1h,0.0,coordination
graph__merchants_connected_via_device,0.0,graph
device_account_count_before,-3.762184197402263e-05,behavioral
graph__device_degree_before,-0.0002686137409600775,graph
customer_amount_zscore,-0.00030537283262466186,behavioral
amount_vs_customer_median,-0.0005443952796076567,behavioral
graph__customer_degree_before,-0.0006344612342749523,graph
customer_median_amount_before,-0.0007335684402625553,behavioral
amount_vs_customer_mean,-0.000969304909706592,behavioral
hour,-0.0011156178273955986,behavioral
graph__other_merchants_on_device,-0.0018677143696163023,graph
customer_amount_std_before,-0.0021857680738456508,behavioral
